cat	url	lab
Cuban Restaurants	https://www.yellowpages.com/san-antonio-tx/cuban-restaurants	30.0
Greek Restaurants	https://www.yellowpages.com/san-antonio-tx/greek-restaurants	30.0
Soul Food Restaurants	https://www.yellowpages.com/san-antonio-tx/soul-food-restaurants	30.0
Japanese Restaurants	https://www.yellowpages.com/san-antonio-tx/japanese-restaurants	30.0
French Restaurants	https://www.yellowpages.com/san-antonio-tx/french-restaurants	30.0
German Restaurants	https://www.yellowpages.com/san-antonio-tx/german-restaurants	30.0
Brazilian Restaurants	https://www.yellowpages.com/san-antonio-tx/brazillian-restaurants	30.0
Car Insurance	https://www.yellowpages.com/san-antonio-tx/car-insurance	37.0
Boat Insurance	https://www.yellowpages.com/san-antonio-tx/boat-insurance	37.0
Business Insurance	https://www.yellowpages.com/san-antonio-tx/business-insurance	37.0
Dental Insurance	https://www.yellowpages.com/san-antonio-tx/dental-insurance	37.0
Disability Insurance	https://www.yellowpages.com/san-antonio-tx/disability-insurance	37.0
Flood Insurance	https://www.yellowpages.com/san-antonio-tx/flood-insurance	37.0
Home Insurance	https://www.yellowpages.com/san-antonio-tx/home-insurance	37.0
Insurance	https://www.yellowpages.com/san-antonio-tx/insurance	37.0
Liability Insurance	https://www.yellowpages.com/san-antonio-tx/liability-insurance	37.0
Life Insurance	https://www.yellowpages.com/san-antonio-tx/life-insurance	37.0
Long Term Care Insurance	https://www.yellowpages.com/san-antonio-tx/long-term-care-insurance	37.0
Motorcycle Insurance	https://www.yellowpages.com/san-antonio-tx/motorcycle-insurance	37.0
Pet Insurance	https://www.yellowpages.com/san-antonio-tx/pet-insurance	37.0
Renters Insurance	https://www.yellowpages.com/san-antonio-tx/renters-insurance	37.0
RV Insurance	https://www.yellowpages.com/san-antonio-tx/rv-insurance	37.0
Title Insurance	https://www.yellowpages.com/san-antonio-tx/title-insurance	37.0
Travel Insurance	https://www.yellowpages.com/san-antonio-tx/travel-insurance	37.0
Truck Insurance	https://www.yellowpages.com/san-antonio-tx/truck-insurance	37.0
Animal Shelters	https://www.yellowpages.com/san-antonio-tx/animal-shelters	53.0
Dog Training	https://www.yellowpages.com/san-antonio-tx/dog-training	53.0
Doggy Day Cares	https://www.yellowpages.com/san-antonio-tx/doggy-day-cares	53.0
Emergency Vets	https://www.yellowpages.com/san-antonio-tx/emergency-vets	53.0
Kennels	https://www.yellowpages.com/san-antonio-tx/kennels	53.0
Mobile Pet Grooming	https://www.yellowpages.com/san-antonio-tx/mobile-pet-grooming	53.0
Pet Boarding	https://www.yellowpages.com/san-antonio-tx/pet-boarding	53.0
Pet Cemeteries	https://www.yellowpages.com/san-antonio-tx/pet-cemeteries	53.0
Pet Grooming	https://www.yellowpages.com/san-antonio-tx/pet-grooming	53.0
Veterinary Clinics	https://www.yellowpages.com/san-antonio-tx/veterinary-clinics	53.0
Massage	https://www.yellowpages.com/san-antonio-tx/massage	39.0
Barber Shops	https://www.yellowpages.com/san-antonio-tx/barber-shops	39.0
Nail Salons	https://www.yellowpages.com/san-antonio-tx/nail-salons	39.0
Beauty Supplies	https://www.yellowpages.com/san-antonio-tx/beauty-supplies	39.0
Hair Removal	https://www.yellowpages.com/san-antonio-tx/hair-removal	39.0
Hair Stylists	https://www.yellowpages.com/san-antonio-tx/hair-stylists	39.0
Facial Salons	https://www.yellowpages.com/san-antonio-tx/facial-salons	39.0
Beauty Salons	https://www.yellowpages.com/san-antonio-tx/beauty-salons	39.0
Day Spas	https://www.yellowpages.com/san-antonio-tx/day-spas	39.0
Hair Supplies	https://www.yellowpages.com/san-antonio-tx/hair-supplies	39.0
Storage Units	https://www.yellowpages.com/las-vegas-nv/storage-units	53.0
Plumbers	https://www.yellowpages.com/las-vegas-nv/plumbers	53.0
Electricians	https://www.yellowpages.com/las-vegas-nv/electricians	53.0
Carpet Cleaning	https://www.yellowpages.com/las-vegas-nv/carpet-cleaning	53.0
Moving Companies	https://www.yellowpages.com/las-vegas-nv/moving-companies	34.0
Pest Control Services	https://www.yellowpages.com/las-vegas-nv/pest-control-services	53.0
Self Storage	https://www.yellowpages.com/las-vegas-nv/self-storage	53.0
Appliance Repair	https://www.yellowpages.com/las-vegas-nv/appliance-repair	53.0
Garage Door Repair	https://www.yellowpages.com/las-vegas-nv/garage-door-repair	53.0
Appliance Parts	https://www.yellowpages.com/las-vegas-nv/appliance-parts	34.0
Cleaning Services	https://www.yellowpages.com/las-vegas-nv/cleaning-services	34.0
Lawn Mower Repair	https://www.yellowpages.com/las-vegas-nv/lawn-mower-repair	34.0
Moving Truck Rental	https://www.yellowpages.com/las-vegas-nv/moving-truck-rental	32.0
AC Repair	https://www.yellowpages.com/las-vegas-nv/ac-repair	34.0
Home Security System Installation	https://www.yellowpages.com/las-vegas-nv/home-security-system-installation	53.0
Garden Centers	https://www.yellowpages.com/las-vegas-nv/garden-centers	53.0
Refrigerator Repair	https://www.yellowpages.com/las-vegas-nv/refrigerator-repair	53.0
Plant Nurseries	https://www.yellowpages.com/las-vegas-nv/plant-nurseries	53.0
Tree Service	https://www.yellowpages.com/las-vegas-nv/tree-service	53.0
General Contractors	https://www.yellowpages.com/las-vegas-nv/general-contractors	53.0
Dentists	https://www.yellowpages.com/las-vegas-nv/dentists	39.0
Dermatologists	https://www.yellowpages.com/las-vegas-nv/dermatologists	39.0
Optometrists	https://www.yellowpages.com/las-vegas-nv/optometrists	39.0
Physical Therapy	https://www.yellowpages.com/las-vegas-nv/physical-therapy	39.0
Hospitals	https://www.yellowpages.com/las-vegas-nv/hospitals	39.0
Endocrinologists	https://www.yellowpages.com/las-vegas-nv/endocrinologists	39.0
Gynecologists	https://www.yellowpages.com/las-vegas-nv/gynecologists	39.0
Podiatrists	https://www.yellowpages.com/las-vegas-nv/podiatrists	39.0
Neurologists	https://www.yellowpages.com/las-vegas-nv/neurologists	39.0
Ophthalmologists	https://www.yellowpages.com/las-vegas-nv/ophthalmologists	39.0
Gastroenterologists	https://www.yellowpages.com/las-vegas-nv/gastroenterologists	39.0
Pediatricians	https://www.yellowpages.com/las-vegas-nv/pediatricians	39.0
Orthodontists	https://www.yellowpages.com/las-vegas-nv/orthodontists	39.0
Urologists	https://www.yellowpages.com/las-vegas-nv/urologists	39.0
Rheumatologists	https://www.yellowpages.com/las-vegas-nv/rheumatologists	39.0
Obgyn	https://www.yellowpages.com/las-vegas-nv/obgyn	39.0
Physicians	https://www.yellowpages.com/las-vegas-nv/physicians	39.0
Cardiologists	https://www.yellowpages.com/las-vegas-nv/cardiologists	39.0
Radiology	https://www.yellowpages.com/las-vegas-nv/radiology	39.0
Pediatric Dentists	https://www.yellowpages.com/las-vegas-nv/pediatric-dentists	39.0
Auto Parts	https://www.yellowpages.com/las-vegas-nv/auto-parts	32.0
Oil Change	https://www.yellowpages.com/las-vegas-nv/oil-change	32.0
Tire Shops	https://www.yellowpages.com/las-vegas-nv/tire-shops	32.0
Auto Repair	https://www.yellowpages.com/las-vegas-nv/auto-repair	32.0
Window Tinting	https://www.yellowpages.com/las-vegas-nv/window-tinting	32.0
Towing	https://www.yellowpages.com/las-vegas-nv/towing	32.0
Auto Body Shops	https://www.yellowpages.com/las-vegas-nv/auto-body-shops	32.0
Car Detailing	https://www.yellowpages.com/las-vegas-nv/car-detailing	32.0
Roadside Assistance	https://www.yellowpages.com/las-vegas-nv/roadside-assistance	32.0
Auto Glass Repair	https://www.yellowpages.com/las-vegas-nv/auto-glass-repair	32.0
Tire Repair	https://www.yellowpages.com/las-vegas-nv/tire-repair	32.0
Auto Salvage	https://www.yellowpages.com/las-vegas-nv/auto-salvage	32.0
Auto Glass	https://www.yellowpages.com/las-vegas-nv/auto-glass	32.0
Car Accessories	https://www.yellowpages.com/las-vegas-nv/car-accessories	32.0
Wheel Alignment	https://www.yellowpages.com/las-vegas-nv/wheel-alignment	32.0
Used Car Parts	https://www.yellowpages.com/las-vegas-nv/used-car-parts	32.0
Car Transport	https://www.yellowpages.com/las-vegas-nv/car-transport	32.0
Paintless Dent Repair	https://www.yellowpages.com/las-vegas-nv/paintless-dent-repair	32.0
Radiator Repair	https://www.yellowpages.com/las-vegas-nv/radiator-repair	32.0
Car Alarm Installation	https://www.yellowpages.com/las-vegas-nv/car-alarm-installation	32.0
Bail Bonds	https://www.yellowpages.com/las-vegas-nv/bail-bonds	43.0
Private Investigators	https://www.yellowpages.com/las-vegas-nv/private-investigators	43.0
Stenographers	https://www.yellowpages.com/las-vegas-nv/stenographers	43.0
Divorce Attorneys	https://www.yellowpages.com/las-vegas-nv/divorce-attorneys	43.0
Lie Detector Tests	https://www.yellowpages.com/las-vegas-nv/lie-detector-tests	43.0
Car Accident Lawyers	https://www.yellowpages.com/las-vegas-nv/car-accident-lawyers	43.0
Family Law Attorneys	https://www.yellowpages.com/las-vegas-nv/family-law-attorneys	43.0
Bankruptcy Attorneys	https://www.yellowpages.com/las-vegas-nv/bankruptcy-attorneys	43.0
Process Servers	https://www.yellowpages.com/las-vegas-nv/process-servers	43.0
Tax Attorneys	https://www.yellowpages.com/las-vegas-nv/tax-attorneys	43.0
Fingerprinting Services	https://www.yellowpages.com/las-vegas-nv/fingerprinting-services	43.0
Medical Malpractice Lawyers	https://www.yellowpages.com/las-vegas-nv/medical-malpractice-lawyers	43.0
Accident Attorneys	https://www.yellowpages.com/las-vegas-nv/accident-attorneys	43.0
Child Custody Lawyers	https://www.yellowpages.com/las-vegas-nv/child-custody-lawyers	43.0
Business Lawyers	https://www.yellowpages.com/las-vegas-nv/business-lawyers	43.0
Immigration Lawyers	https://www.yellowpages.com/las-vegas-nv/immigration-lawyers	43.0
Workers Compensation Attorneys	https://www.yellowpages.com/las-vegas-nv/workers-compensation-attorneys	43.0
DUI Attorneys	https://www.yellowpages.com/las-vegas-nv/dui-attorneys	43.0
Civil Rights Attorneys	https://www.yellowpages.com/las-vegas-nv/civil-rights-attorneys	43.0
Labor Law Attorneys	https://www.yellowpages.com/las-vegas-nv/labor-law-attorneys	43.0
Mexican Restaurants	https://www.yellowpages.com/las-vegas-nv/mexican-restaurants	30.0
Sushi Bars	https://www.yellowpages.com/las-vegas-nv/sushi-bars	30.0
Chinese Restaurants	https://www.yellowpages.com/las-vegas-nv/chinese-restaurants	30.0
Italian Restaurants	https://www.yellowpages.com/las-vegas-nv/italian-restaurants	30.0
Thai Restaurants	https://www.yellowpages.com/las-vegas-nv/thai-restaurants	30.0
Breakfast Restaurants	https://www.yellowpages.com/las-vegas-nv/breakfast-restaurants	30.0
Seafood Restaurants	https://www.yellowpages.com/las-vegas-nv/seafood-restaurants	30.0
